language,intent,answer
en,greetings.hello,hello  How can I help you?
en,greetings.hello,hello what can I do for you?
en,greetings.hello,hello How can I help you?
en,greetings.hello,hey what can I do for you?
en,greetings.goodmorning,Good Morning
en,greetings.goodmorning,Good  Morning
en,greetings.goodafternoon,Good Afternoon
en,greetings.goodevening,Good Evening
en,greetings.well,I'm doing well
en,greetings.fine,I'm doing well
en,greetings.bye,bye have nice day
en,greetings.ok,okay
en,greetings.ok,well
en,greetings.hello,hello what can I do for you?
en,greetings.hello,hello How can I help you?
en,greetings.hello,hey what can I do for you?
en,greetings.hello,hello what can I do for you?
